DEBUG 2020-02-17 20:50:57,126 utils 18624 11132 (0.000) SELECT `django_session`.`session_key`, `django_session`.`session_data`, `django_session`.`expire_date` FROM `django_session` WHERE (`django_session`.`session_key` = 'aayck1k8mul6yqzidovrnnzjcvbwfe3i' AND `django_session`.`expire_date` > '2020-02-17 12:50:57.125854'); args=('aayck1k8mul6yqzidovrnnzjcvbwfe3i', '2020-02-17 12:50:57.125854')
DEBUG 2020-02-17 20:50:57,128 utils 18624 11132 (0.000) SELECT `mall_product`.`id`, `mall_product`.`uid`, `mall_product`.`name`, `mall_product`.`desc`, `mall_product`.`content`, `mall_product`.`types`, `mall_product`.`price`, `mall_product`.`origin_price`, `mall_product`.`img`, `mall_product`.`buy_link`, `mall_product`.`reorder`, `mall_product`.`status`, `mall_product`.`sku_count`, `mall_product`.`ramain_count`, `mall_product`.`view_count`, `mall_product`.`score`, `mall_product`.`is_valid`, `mall_product`.`created_at`, `mall_product`.`updated_at` FROM `mall_product` INNER JOIN `mall_product_classes` ON (`mall_product`.`id` = `mall_product_classes`.`product_id`) INNER JOIN `mall_classify` ON (`mall_product_classes`.`classify_id` = `mall_classify`.`id`) WHERE (`mall_product`.`status` = 11 AND `mall_product`.`is_valid` = 1 AND `mall_classify`.`code` = 'jszc') ORDER BY `mall_product`.`reorder` DESC LIMIT 2; args=(11, True, 'jszc')
DEBUG 2020-02-17 20:51:03,285 utils 18624 11104 (0.000) SELECT @@SQL_AUTO_IS_NULL; args=None
DEBUG 2020-02-17 20:51:03,285 utils 18624 11104 (0.000) SELECT VERSION(); args=None
DEBUG 2020-02-17 20:51:03,289 utils 18624 11104 (0.002) SELECT `mall_product`.`id`, `mall_product`.`uid`, `mall_product`.`name`, `mall_product`.`desc`, `mall_product`.`content`, `mall_product`.`types`, `mall_product`.`price`, `mall_product`.`origin_price`, `mall_product`.`img`, `mall_product`.`buy_link`, `mall_product`.`reorder`, `mall_product`.`status`, `mall_product`.`sku_count`, `mall_product`.`ramain_count`, `mall_product`.`view_count`, `mall_product`.`score`, `mall_product`.`is_valid`, `mall_product`.`created_at`, `mall_product`.`updated_at` FROM `mall_product` WHERE (`mall_product`.`uid` = '31ea8d8957f042c78c958c85df4a7445' AND `mall_product`.`is_valid` = 1); args=('31ea8d8957f042c78c958c85df4a7445', True)
DEBUG 2020-02-17 20:51:03,292 utils 18624 11104 (0.001) SELECT `django_session`.`session_key`, `django_session`.`session_data`, `django_session`.`expire_date` FROM `django_session` WHERE (`django_session`.`session_key` = 'aayck1k8mul6yqzidovrnnzjcvbwfe3i' AND `django_session`.`expire_date` > '2020-02-17 12:51:03.291360'); args=('aayck1k8mul6yqzidovrnnzjcvbwfe3i', '2020-02-17 12:51:03.291360')
DEBUG 2020-02-17 20:51:03,341 utils 18624 11104 (0.020) SELECT `django_content_type`.`id`, `django_content_type`.`app_label`, `django_content_type`.`model` FROM `django_content_type` WHERE (`django_content_type`.`app_label` = 'mall' AND `django_content_type`.`model` = 'product'); args=('mall', 'product')
DEBUG 2020-02-17 20:51:03,348 utils 18624 11104 (0.006) SELECT `system_images`.`id`, `system_images`.`img`, `system_images`.`summary`, `system_images`.`content_type_id`, `system_images`.`object_id`, `system_images`.`is_valid`, `system_images`.`created_at`, `system_images`.`updated_at` FROM `system_images` WHERE (`system_images`.`content_type_id` = 16 AND `system_images`.`object_id` = 5); args=(16, 5)
DEBUG 2020-02-17 20:51:03,465 utils 18624 14560 (0.000) SELECT @@SQL_AUTO_IS_NULL; args=None
DEBUG 2020-02-17 20:51:03,466 utils 18624 14560 (0.001) SELECT VERSION(); args=None
